,Value
0,31.0
1,32.0
2,21.0
3,16.0
4,15.0
5,9.0
6,9.0
7,7.0
8,14.0
9,11.0
10,9.0
11,10.0
12,16.0
13,17.0
14,15.0
15,13.0
16,16.0
17,15.0
18,20.0
19,17.0
20,16.0
21,19.0
22,13.0
23,19.0
24,15.0
25,19.0
26,16.0
27,17.0
28,17.0
29,17.0
30,15.0
31,13.0
32,15.0
33,15.0
34,16.0
35,13.0
36,19.0
37,20.0
38,19.0
39,19.0
40,25.0
41,22.0
42,25.0
43,20.0
44,19.0
45,21.0
46,27.0
47,23.0
48,21.0
49,20.0
50,18.0
51,20.0
52,20.0
53,13.0
54,13.0
55,17.0
56,22.0
57,29.0
58,26.0
59,26.0
60,18.0
61,20.0
62,26.0
63,24.0
64,18.0
65,25.0
66,34.0
67,37.0
68,36.0
69,42.0
70,40.0
71,37.0
72,33.0
73,35.0
74,58.0
75,56.0
76,62.0
77,37.0
78,37.0
79,41.0
80,41.0
81,39.0
82,48.0
83,59.0
84,63.0
85,74.0
86,69.0
87,79.0
88,89.0
89,94.0
90,113.0
91,132.0
92,186.0
93,205.0
94,204.0
95,198.0
96,176.0
97,111.0
98,140.0
99,78.0
100,30.0
101,31.0
102,34.0
103,29.0
104,40.0
105,43.0
106,43.0
107,39.0
108,38.0
109,37.0
110,37.0
111,36.0
112,41.0
113,49.0
114,69.0
115,86.0
116,73.0
117,64.0
118,72.0
119,72.0
120,49.0
121,48.0
122,34.0
123,40.0
124,39.0
125,30.0
126,32.0
127,41.0
128,45.0
129,61.0
130,50.0
131,65.0
132,70.0
133,78.0
134,108.0
135,142.0
136,193.0
137,204.0
138,266.0
139,335.0
140,392.0
141,413.0
142,339.0
143,285.0
144,236.0
145,173.0
146,159.0
147,128.0
148,99.0
149,89.0
150,88.0
151,84.0
152,71.0
153,76.0
154,78.0
155,89.0
156,102.0
157,113.0
158,134.0
159,33.0
160,133.0
161,150.0
162,164.0
163,194.0
164,233.0
165,250.0
166,299.0
167,333.0
168,357.0
169,390.0
170,326.0
171,402.0
172,365.0
173,257.0
174,135.0
175,159.0
176,170.0
177,36.0
178,19.0
179,20.0
180,18.0
181,19.0
182,14.0
183,11.0
184,16.0
185,19.0
186,18.0
187,21.0
188,21.0
189,17.0
190,19.0
191,23.0
192,29.0
193,22.0
194,18.0
195,24.0
196,22.0
197,17.0
198,27.0
199,44.0
200,46.0
201,35.0
202,48.0
203,59.0
204,69.0
205,72.0
206,59.0
207,57.0
208,67.0
209,75.0
210,15.0
211,38.0
212,41.0
213,63.0
214,234.0
215,305.0
216,304.0
217,303.0
218,221.0
219,179.0
220,162.0
221,111.0
222,114.0
223,81.0
224,56.0
225,63.0
226,79.0
227,84.0
228,97.0
229,111.0
230,167.0
231,279.0
232,395.0
233,449.0
234,389.0
235,421.0
236,486.0
237,486.0
238,488.0
239,434.0
240,425.0
241,418.0
242,416.0
243,402.0
244,429.0
245,408.0
246,456.0
247,434.0
248,391.0
249,377.0
250,377.0
251,361.0
252,343.0
253,356.0
254,353.0
255,340.0
256,146.0
257,216.0
258,291.0
259,325.0
260,292.0
261,371.0
262,369.0
263,374.0
264,391.0
265,442.0
266,425.0
267,442.0
268,287.0
269,275.0
270,174.0
271,278.0
272,298.5
273,319.0
274,383.0
275,472.0
276,458.0
277,529.0
278,802.0
279,845.0
280,810.0
281,776.0
282,824.0
283,886.0
284,852.0
285,858.0
286,805.0
287,744.0
288,731.0
289,722.0
290,684.0
291,651.0
292,673.0
293,584.0
294,475.0
295,341.0
296,288.0
297,266.0
298,236.0
299,295.0
300,419.0
301,371.0
302,323.0
303,326.0
304,325.0
305,334.0
306,343.0
307,333.0
308,311.0
309,304.0
310,301.0
311,309.0
312,298.0
313,362.0
314,523.0
315,468.0
316,447.0
317,328.0
318,308.0
319,358.0
320,296.0
321,257.0
322,291.0
323,335.0
324,345.0
325,307.0
326,271.0
327,267.0
328,277.0
329,278.0
330,285.0
331,282.0
332,217.0
333,169.0
334,68.0
335,151.0
336,66.0
337,58.0
338,61.0
339,61.0
340,71.0
341,79.0
342,74.0
343,71.0
344,80.0
345,79.0
346,69.0
347,90.0
348,109.0
349,120.0
350,126.0
351,132.0
352,134.0
353,155.0
354,166.0
355,183.0
356,181.0
357,201.0
358,227.0
359,177.0
360,189.0
361,132.5
362,76.0
363,46.0
364,38.0
365,35.0
366,25.0
367,82.0
368,245.0
369,269.0
370,240.0
371,194.0
372,169.0
373,53.0
