Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,QC
Shanghai,PM2.5,2014/1/1 0:00,2014,1,1,0,136,Valid
Shanghai,PM2.5,2014/1/1 1:00,2014,1,1,1,173,Valid
Shanghai,PM2.5,2014/1/1 2:00,2014,1,1,2,166,Valid
Shanghai,PM2.5,2014/1/1 3:00,2014,1,1,3,157,Valid
Shanghai,PM2.5,2014/1/1 4:00,2014,1,1,4,157,Valid
Shanghai,PM2.5,2014/1/1 5:00,2014,1,1,5,147,Valid
Shanghai,PM2.5,2014/1/1 6:00,2014,1,1,6,154,Valid
Shanghai,PM2.5,2014/1/1 7:00,2014,1,1,7,142,Valid
Shanghai,PM2.5,2014/1/1 8:00,2014,1,1,8,137,Valid
Shanghai,PM2.5,2014/1/1 9:00,2014,1,1,9,138,Valid
Shanghai,PM2.5,2014/1/1 10:00,2014,1,1,10,121,Valid
Shanghai,PM2.5,2014/1/1 11:00,2014,1,1,11,100,Valid
Shanghai,PM2.5,2014/1/1 12:00,2014,1,1,12,81,Valid
Shanghai,PM2.5,2014/1/1 13:00,2014,1,1,13,75,Valid
Shanghai,PM2.5,2014/1/1 14:00,2014,1,1,14,78,Valid
Shanghai,PM2.5,2014/1/1 15:00,2014,1,1,15,71,Valid
Shanghai,PM2.5,2014/1/1 16:00,2014,1,1,16,79,Valid
Shanghai,PM2.5,2014/1/1 17:00,2014,1,1,17,84,Valid
Shanghai,PM2.5,2014/1/1 18:00,2014,1,1,18,100,Valid
Shanghai,PM2.5,2014/1/1 19:00,2014,1,1,19,106,Valid
Shanghai,PM2.5,2014/1/1 20:00,2014,1,1,20,142,Valid
Shanghai,PM2.5,2014/1/1 21:00,2014,1,1,21,163,Valid
Shanghai,PM2.5,2014/1/1 22:00,2014,1,1,22,171,Valid
Shanghai,PM2.5,2014/1/1 23:00,2014,1,1,23,163,Valid
Shanghai,PM2.5,2014/1/2 0:00,2014,1,2,0,174,Valid
Shanghai,PM2.5,2014/1/2 1:00,2014,1,2,1,182,Valid
Shanghai,PM2.5,2014/1/2 2:00,2014,1,2,2,160,Valid
Shanghai,PM2.5,2014/1/2 3:00,2014,1,2,3,132,Valid
Shanghai,PM2.5,2014/1/2 4:00,2014,1,2,4,116,Valid
Shanghai,PM2.5,2014/1/2 5:00,2014,1,2,5,114,Valid
Shanghai,PM2.5,2014/1/2 6:00,2014,1,2,6,99,Valid
Shanghai,PM2.5,2014/1/2 7:00,2014,1,2,7,95,Valid
Shanghai,PM2.5,2014/1/2 8:00,2014,1,2,8,77,Valid
Shanghai,PM2.5,2014/1/2 9:00,2014,1,2,9,81,Valid
Shanghai,PM2.5,2014/1/2 10:00,2014,1,2,10,101,Valid
Shanghai,PM2.5,2014/1/2 11:00,2014,1,2,11,88,Valid
Shanghai,PM2.5,2014/1/2 12:00,2014,1,2,12,63,Valid
Shanghai,PM2.5,2014/1/2 13:00,2014,1,2,13,-999,Missing
Shanghai,PM2.5,2014/1/2 14:00,2014,1,2,14,33,Valid
Shanghai,PM2.5,2014/1/2 15:00,2014,1,2,15,44,Valid
Shanghai,PM2.5,2014/1/2 16:00,2014,1,2,16,73,Valid
Shanghai,PM2.5,2014/1/2 17:00,2014,1,2,17,66,Valid
Shanghai,PM2.5,2014/1/2 18:00,2014,1,2,18,71,Valid
Shanghai,PM2.5,2014/1/2 19:00,2014,1,2,19,75,Valid
Shanghai,PM2.5,2014/1/2 20:00,2014,1,2,20,76,Valid
Shanghai,PM2.5,2014/1/2 21:00,2014,1,2,21,74,Valid
Shanghai,PM2.5,2014/1/2 22:00,2014,1,2,22,68,Valid
Shanghai,PM2.5,2014/1/2 23:00,2014,1,2,23,70,Valid
Shanghai,PM2.5,2014/1/3 0:00,2014,1,3,0,71,Valid
Shanghai,PM2.5,2014/1/3 1:00,2014,1,3,1,68,Valid
Shanghai,PM2.5,2014/1/3 2:00,2014,1,3,2,77,Valid
Shanghai,PM2.5,2014/1/3 3:00,2014,1,3,3,76,Valid
Shanghai,PM2.5,2014/1/3 4:00,2014,1,3,4,76,Valid
Shanghai,PM2.5,2014/1/3 5:00,2014,1,3,5,92,Valid
Shanghai,PM2.5,2014/1/3 6:00,2014,1,3,6,105,Valid
Shanghai,PM2.5,2014/1/3 7:00,2014,1,3,7,107,Valid
Shanghai,PM2.5,2014/1/3 8:00,2014,1,3,8,124,Valid
Shanghai,PM2.5,2014/1/3 9:00,2014,1,3,9,153,Valid
Shanghai,PM2.5,2014/1/3 10:00,2014,1,3,10,158,Valid
Shanghai,PM2.5,2014/1/3 11:00,2014,1,3,11,149,Valid
Shanghai,PM2.5,2014/1/3 12:00,2014,1,3,12,164,Valid
Shanghai,PM2.5,2014/1/3 13:00,2014,1,3,13,123,Valid
Shanghai,PM2.5,2014/1/3 14:00,2014,1,3,14,95,Valid
Shanghai,PM2.5,2014/1/3 15:00,2014,1,3,15,97,Valid
Shanghai,PM2.5,2014/1/3 16:00,2014,1,3,16,110,Valid
Shanghai,PM2.5,2014/1/3 17:00,2014,1,3,17,139,Valid
Shanghai,PM2.5,2014/1/3 18:00,2014,1,3,18,150,Valid
Shanghai,PM2.5,2014/1/3 19:00,2014,1,3,19,161,Valid
Shanghai,PM2.5,2014/1/3 20:00,2014,1,3,20,190,Valid
Shanghai,PM2.5,2014/1/3 21:00,2014,1,3,21,212,Valid
Shanghai,PM2.5,2014/1/3 22:00,2014,1,3,22,225,Valid
Shanghai,PM2.5,2014/1/3 23:00,2014,1,3,23,196,Valid
Shanghai,PM2.5,2014/1/4 0:00,2014,1,4,0,208,Valid
Shanghai,PM2.5,2014/1/4 1:00,2014,1,4,1,229,Valid
Shanghai,PM2.5,2014/1/4 2:00,2014,1,4,2,251,Valid
Shanghai,PM2.5,2014/1/4 3:00,2014,1,4,3,209,Valid
Shanghai,PM2.5,2014/1/4 4:00,2014,1,4,4,189,Valid
Shanghai,PM2.5,2014/1/4 5:00,2014,1,4,5,170,Valid
Shanghai,PM2.5,2014/1/4 6:00,2014,1,4,6,110,Valid
Shanghai,PM2.5,2014/1/4 7:00,2014,1,4,7,86,Valid
Shanghai,PM2.5,2014/1/4 8:00,2014,1,4,8,80,Valid
Shanghai,PM2.5,2014/1/4 9:00,2014,1,4,9,103,Valid
Shanghai,PM2.5,2014/1/4 10:00,2014,1,4,10,98,Valid
Shanghai,PM2.5,2014/1/4 11:00,2014,1,4,11,71,Valid
Shanghai,PM2.5,2014/1/4 12:00,2014,1,4,12,68,Valid
Shanghai,PM2.5,2014/1/4 13:00,2014,1,4,13,80,Valid
Shanghai,PM2.5,2014/1/4 14:00,2014,1,4,14,77,Valid
Shanghai,PM2.5,2014/1/4 15:00,2014,1,4,15,59,Valid
Shanghai,PM2.5,2014/1/4 16:00,2014,1,4,16,61,Valid
Shanghai,PM2.5,2014/1/4 17:00,2014,1,4,17,55,Valid
Shanghai,PM2.5,2014/1/4 18:00,2014,1,4,18,47,Valid
Shanghai,PM2.5,2014/1/4 19:00,2014,1,4,19,34,Valid
Shanghai,PM2.5,2014/1/4 20:00,2014,1,4,20,28,Valid
Shanghai,PM2.5,2014/1/4 21:00,2014,1,4,21,33,Valid
Shanghai,PM2.5,2014/1/4 22:00,2014,1,4,22,21,Valid
Shanghai,PM2.5,2014/1/4 23:00,2014,1,4,23,27,Valid
Shanghai,PM2.5,2014/1/5 0:00,2014,1,5,0,29,Valid
Shanghai,PM2.5,2014/1/5 1:00,2014,1,5,1,23,Valid
Shanghai,PM2.5,2014/1/5 2:00,2014,1,5,2,32,Valid
Shanghai,PM2.5,2014/1/5 3:00,2014,1,5,3,30,Valid
Shanghai,PM2.5,2014/1/5 4:00,2014,1,5,4,33,Valid
Shanghai,PM2.5,2014/1/5 5:00,2014,1,5,5,35,Valid
Shanghai,PM2.5,2014/1/5 6:00,2014,1,5,6,37,Valid
Shanghai,PM2.5,2014/1/5 7:00,2014,1,5,7,35,Valid
Shanghai,PM2.5,2014/1/5 8:00,2014,1,5,8,28,Valid
Shanghai,PM2.5,2014/1/5 9:00,2014,1,5,9,37,Valid
Shanghai,PM2.5,2014/1/5 10:00,2014,1,5,10,53,Valid
Shanghai,PM2.5,2014/1/5 11:00,2014,1,5,11,70,Valid
Shanghai,PM2.5,2014/1/5 12:00,2014,1,5,12,91,Valid
Shanghai,PM2.5,2014/1/5 13:00,2014,1,5,13,112,Valid
Shanghai,PM2.5,2014/1/5 14:00,2014,1,5,14,122,Valid
Shanghai,PM2.5,2014/1/5 15:00,2014,1,5,15,105,Valid
Shanghai,PM2.5,2014/1/5 16:00,2014,1,5,16,87,Valid
Shanghai,PM2.5,2014/1/5 17:00,2014,1,5,17,63,Valid
Shanghai,PM2.5,2014/1/5 18:00,2014,1,5,18,44,Valid
Shanghai,PM2.5,2014/1/5 19:00,2014,1,5,19,25,Valid
Shanghai,PM2.5,2014/1/5 20:00,2014,1,5,20,27,Valid
Shanghai,PM2.5,2014/1/5 21:00,2014,1,5,21,27,Valid
Shanghai,PM2.5,2014/1/5 22:00,2014,1,5,22,28,Valid
Shanghai,PM2.5,2014/1/5 23:00,2014,1,5,23,35,Valid
Shanghai,PM2.5,2014/1/6 0:00,2014,1,6,0,26,Valid
Shanghai,PM2.5,2014/1/6 1:00,2014,1,6,1,20,Valid
Shanghai,PM2.5,2014/1/6 2:00,2014,1,6,2,17,Valid
Shanghai,PM2.5,2014/1/6 3:00,2014,1,6,3,20,Valid
Shanghai,PM2.5,2014/1/6 4:00,2014,1,6,4,21,Valid
Shanghai,PM2.5,2014/1/6 5:00,2014,1,6,5,22,Valid
Shanghai,PM2.5,2014/1/6 6:00,2014,1,6,6,19,Valid
Shanghai,PM2.5,2014/1/6 7:00,2014,1,6,7,24,Valid
Shanghai,PM2.5,2014/1/6 8:00,2014,1,6,8,24,Valid
Shanghai,PM2.5,2014/1/6 9:00,2014,1,6,9,21,Valid
Shanghai,PM2.5,2014/1/6 10:00,2014,1,6,10,24,Valid
Shanghai,PM2.5,2014/1/6 11:00,2014,1,6,11,24,Valid
Shanghai,PM2.5,2014/1/6 12:00,2014,1,6,12,24,Valid
Shanghai,PM2.5,2014/1/6 13:00,2014,1,6,13,26,Valid
Shanghai,PM2.5,2014/1/6 14:00,2014,1,6,14,22,Valid
Shanghai,PM2.5,2014/1/6 15:00,2014,1,6,15,23,Valid
Shanghai,PM2.5,2014/1/6 16:00,2014,1,6,16,39,Valid
Shanghai,PM2.5,2014/1/6 17:00,2014,1,6,17,35,Valid
Shanghai,PM2.5,2014/1/6 18:00,2014,1,6,18,37,Valid
Shanghai,PM2.5,2014/1/6 19:00,2014,1,6,19,39,Valid
Shanghai,PM2.5,2014/1/6 20:00,2014,1,6,20,39,Valid
Shanghai,PM2.5,2014/1/6 21:00,2014,1,6,21,36,Valid
Shanghai,PM2.5,2014/1/6 22:00,2014,1,6,22,43,Valid
Shanghai,PM2.5,2014/1/6 23:00,2014,1,6,23,36,Valid
Shanghai,PM2.5,2014/1/7 0:00,2014,1,7,0,42,Valid
Shanghai,PM2.5,2014/1/7 1:00,2014,1,7,1,37,Valid
Shanghai,PM2.5,2014/1/7 2:00,2014,1,7,2,43,Valid
Shanghai,PM2.5,2014/1/7 3:00,2014,1,7,3,38,Valid
Shanghai,PM2.5,2014/1/7 4:00,2014,1,7,4,41,Valid
Shanghai,PM2.5,2014/1/7 5:00,2014,1,7,5,36,Valid
Shanghai,PM2.5,2014/1/7 6:00,2014,1,7,6,39,Valid
Shanghai,PM2.5,2014/1/7 7:00,2014,1,7,7,42,Valid
Shanghai,PM2.5,2014/1/7 8:00,2014,1,7,8,38,Valid
Shanghai,PM2.5,2014/1/7 9:00,2014,1,7,9,39,Valid
Shanghai,PM2.5,2014/1/7 10:00,2014,1,7,10,36,Valid
Shanghai,PM2.5,2014/1/7 11:00,2014,1,7,11,35,Valid
Shanghai,PM2.5,2014/1/7 12:00,2014,1,7,12,38,Valid
Shanghai,PM2.5,2014/1/7 13:00,2014,1,7,13,44,Valid
Shanghai,PM2.5,2014/1/7 14:00,2014,1,7,14,53,Valid
Shanghai,PM2.5,2014/1/7 15:00,2014,1,7,15,42,Valid
Shanghai,PM2.5,2014/1/7 16:00,2014,1,7,16,46,Valid
Shanghai,PM2.5,2014/1/7 17:00,2014,1,7,17,43,Valid
Shanghai,PM2.5,2014/1/7 18:00,2014,1,7,18,58,Valid
Shanghai,PM2.5,2014/1/7 19:00,2014,1,7,19,50,Valid
Shanghai,PM2.5,2014/1/7 20:00,2014,1,7,20,59,Valid
Shanghai,PM2.5,2014/1/7 21:00,2014,1,7,21,61,Valid
Shanghai,PM2.5,2014/1/7 22:00,2014,1,7,22,75,Valid
Shanghai,PM2.5,2014/1/7 23:00,2014,1,7,23,74,Valid
Shanghai,PM2.5,2014/1/8 0:00,2014,1,8,0,73,Valid
Shanghai,PM2.5,2014/1/8 1:00,2014,1,8,1,70,Valid
Shanghai,PM2.5,2014/1/8 2:00,2014,1,8,2,83,Valid
Shanghai,PM2.5,2014/1/8 3:00,2014,1,8,3,97,Valid
Shanghai,PM2.5,2014/1/8 4:00,2014,1,8,4,31,Valid
