,Value
0,70.0
1,76.0
2,72.0
3,78.0
4,77.0
5,78.0
6,77.0
7,80.0
8,76.0
9,74.0
10,76.0
11,66.0
12,58.0
13,50.0
14,48.0
15,49.0
16,54.0
17,61.0
18,60.0
19,101.0
20,118.0
21,125.0
22,136.0
23,114.0
24,91.0
25,99.0
26,89.0
27,80.0
28,81.0
29,81.0
30,90.0
31,78.0
32,92.0
33,112.0
34,97.0
35,67.0
36,45.0
37,28.0
38,24.0
39,36.0
40,29.0
41,34.0
42,32.0
43,32.0
44,25.0
45,26.0
46,17.0
47,20.0
48,21.0
49,20.0
50,27.0
51,25.0
52,32.0
53,33.0
54,39.0
55,46.0
56,51.0
57,52.0
58,59.0
59,60.0
60,62.0
61,63.0
62,50.0
63,52.0
64,55.0
65,48.0
66,53.0
67,58.0
68,49.0
69,52.0
70,49.0
71,45.0
72,45.0
73,38.0
74,38.0
75,37.0
76,37.0
77,44.0
78,47.0
79,51.0
80,66.0
81,68.0
82,63.0
83,51.0
84,52.0
85,55.0
86,57.0
87,57.0
88,54.0
89,49.0
90,52.0
91,45.0
92,40.0
93,42.0
94,43.0
95,51.0
96,62.0
97,59.0
98,58.0
99,58.0
100,51.0
101,47.0
102,40.0
103,37.0
104,50.0
105,40.0
106,44.0
107,42.0
108,62.0
109,65.0
110,49.0
111,64.0
112,76.0
113,73.0
114,59.0
115,54.0
116,51.0
117,47.0
118,40.0
119,41.0
120,45.0
121,44.0
122,50.0
123,55.0
124,68.0
125,73.0
126,83.0
127,72.0
128,73.0
129,74.0
130,80.0
131,100.0
132,82.0
133,76.0
134,102.0
135,105.0
136,107.0
137,112.0
138,105.0
139,115.0
140,110.0
141,118.0
142,94.0
143,100.0
144,99.0
145,116.0
146,128.0
147,128.0
148,138.0
149,147.0
150,146.0
151,138.0
152,124.0
153,123.0
154,122.5
155,122.0
156,121.5
157,121.0
158,135.0
159,164.0
160,154.0
161,139.0
162,143.0
163,156.0
164,177.0
165,169.0
166,198.0
167,244.0
168,251.0
169,226.0
170,165.0
171,150.0
172,166.0
173,171.0
174,182.0
175,181.0
176,173.0
177,145.0
178,107.0
179,76.0
180,104.0
181,104.0
182,101.0
183,103.0
184,95.0
185,66.0
186,57.0
187,60.0
188,70.0
189,59.0
190,57.0
191,80.0
192,88.0
193,89.0
194,86.0
195,74.0
196,95.0
197,83.0
