,Value,3exp_add,3exp_mul
0,112.0,84.4785580290814,77.05879338030341
1,113.0,109.28422701043091,96.67883602891564
2,115.0,117.2508027514049,107.11794739125651
3,144.0,119.19838746885229,108.74324528726551
4,152.0,150.02942539326796,140.54224571223546
5,138.0,162.4409133261372,165.79424013182106
6,136.0,149.9979228928781,151.53754409332697
7,133.0,146.2643821720476,144.47074971259465
8,134.0,133.77941547006844,123.26006984787918
9,131.0,141.0531707276588,136.7304298961489
10,100.0,139.63492225038823,137.8359410295132
11,98.0,108.08627087904031,104.48956074910701
12,68.0,106.48456473036151,104.16869842893851
13,71.0,74.87845865061055,72.12505102266596
14,78.0,72.39091640569765,66.1296383593332
15,85.0,76.14372071378716,68.92365246044174
16,96.0,86.22924420770896,77.63933322568934
17,143.0,93.29540389876914,79.78307958991286
18,151.0,152.86487224635016,154.89525699340317
19,162.0,158.3711146926442,154.15717952378665
20,113.0,174.15767859467564,181.72606635369442
21,73.0,123.98189457155836,124.97943353752844
22,64.0,79.96870298394073,79.43552561117303
23,57.0,76.90125214471983,74.42515803864272
24,38.0,80.53080485212631,75.65536643621319
25,31.0,43.5874466678386,41.87173055534494
26,39.0,34.50599041561127,31.185475655848293
27,38.0,14.434210628059022,23.382769526410474
28,37.0,34.33613973600421,30.44364245959722
29,44.0,37.52810725170825,32.61886532887384
30,57.0,48.183091276619095,41.21821729601694
31,58.0,59.95243029979586,53.075052373740476
32,68.0,61.56047327752452,54.87342585323943
33,77.0,71.13243780615726,63.984268235388456
34,79.0,83.23533050209552,79.57868480973193
35,55.0,83.27705838015343,77.26006075599462
36,42.0,59.79054581602479,54.21038098726582
37,44.0,54.19629241319625,49.81397889741268
38,48.0,54.05637402145103,49.03531107861411
39,50.0,56.65756268198913,51.017733486697374
40,57.0,56.16118224858073,50.328627792454725
41,65.0,67.66403489215085,61.771711089183846
42,63.0,73.91055949894617,66.20932230918386
43,54.0,73.41739037085229,68.11449341389194
44,44.0,55.29383591169603,52.00787927183184
45,46.0,42.0445956955658,39.47280053007166
46,42.0,54.08773621795269,47.465723594936016
47,39.0,41.6560506286155,37.406194335847786
48,43.0,41.8785045900656,37.14605815278643
49,44.0,94.93299177751607,86.27842178937702
50,39.0,9.696166765727403,26.190790921891303
51,40.0,32.285589657974086,29.84545778466661
52,42.0,39.5328473835891,34.075891651553036
53,38.0,47.03581600436935,42.569648995444126
54,52.0,173.73946776339847,193.36430315223674
55,58.0,-58.44432684701335,15.39023309650381
56,54.0,66.7228489665236,69.01977913941043
57,62.0,60.8487445022237,57.321081086640305
58,69.0,60.14483289806476,52.92905265690355
59,85.0,67.74529359029425,58.161966671502384
60,124.0,84.666462583315,71.58777862489805
61,144.0,133.14694141831416,142.64460208535735
62,219.0,149.3431489674299,145.63938345168958
63,194.0,221.86019790020086,216.40081023058482
64,123.0,202.42075781563767,201.0899868949955
65,86.0,131.56496357228124,126.9499329902024
66,85.0,91.45158436044937,87.2354463309461
67,63.0,95.2914023563958,93.89506714706002
68,58.0,70.01316438897007,66.0043814399138
69,64.0,61.862820900812366,54.66118385492643
70,79.0,66.49752287334614,60.00643389971363
71,85.0,81.43054537460569,73.73302523202862
72,97.0,88.25853951366727,79.6709946373372
73,85.0,98.94502670999135,89.91759502790649
74,81.0,89.66406905334685,84.79677388103394
75,105.0,86.92544165975366,81.25060099516475
76,111.0,112.27926355379537,109.70031686490637
77,105.0,113.99294552550485,104.46242139951093
78,93.0,109.51138925346606,101.25198817374482
79,88.0,95.13688289203346,83.2034835999865
80,88.0,96.10415093552238,92.21859244645941
81,87.0,95.01943384650018,90.95731992947664
82,75.0,94.03902105771778,91.5095889813147
83,55.0,84.70089695718659,82.25358137213806
84,44.0,66.70716760778171,65.88195816203367
85,46.0,53.24835247520857,50.1776441022923
86,47.0,51.5032832250855,46.15594779997608
87,54.0,60.96963813559306,56.665176553897695
88,47.0,64.74234137828864,59.89351429451304
89,52.0,53.56410538128273,50.277357638074896
90,54.0,59.27850574271406,53.86801157771496
91,58.0,69.20538348069375,62.64380436586754
92,55.0,66.32444504699029,60.179502013906294
93,64.0,60.805138158523775,55.281184685142414
94,64.0,50.6464064020423,46.049409605579406
95,49.0,65.74247457098471,58.344468712125526
96,53.0,45.8682495510496,41.15035157654473
97,51.0,46.756529864427435,38.49410662559823
98,39.0,52.18213013816014,44.07179722383273
99,38.0,37.94676736747866,31.346325750530653
100,38.0,43.11077932558638,36.91742972589939
101,36.0,43.306183655436044,38.4088403057368
