,Value
0,42.1
1,41.0
2,41.0
3,41.0
4,39.9
5,39.9
6,39.0
7,39.0
8,39.0
9,39.9
10,39.9
11,39.9
12,39.9
13,39.9
14,39.0
15,39.0
16,37.9
17,37.9
18,37.0
19,37.0
20,36.0
21,35.1
22,35.1
23,35.1
24,34.0
25,34.0
26,34.0
27,34.0
28,33.1
29,33.1
30,33.1
31,34.0
32,34.0
33,35.1
34,37.0
35,37.0
36,37.9
37,39.0
38,39.0
39,39.9
40,39.0
41,37.0
42,36.0
43,36.0
44,35.1
45,36.0
46,35.1
47,36.0
48,35.1
49,36.0
50,36.0
51,36.0
52,37.0
53,36.0
54,35.1
55,36.0
56,37.9
57,39.0
58,43.0
59,44.1
60,44.1
61,44.1
62,42.1
63,41.0
64,41.0
65,41.0
66,39.9
67,39.0
68,37.9
69,37.0
70,37.0
71,36.0
72,36.0
73,36.0
74,35.1
75,34.0
76,33.1
77,30.9
78,30.0
79,28.9
80,28.9
81,28.0
82,28.0
83,28.0
84,30.0
85,28.0
86,28.0
87,26.1
88,23.0
89,21.0
90,19.9
91,19.0
92,18.0
93,17.1
94,12.0
95,12.0
96,12.0
97,10.9
98,10.9
99,12.0
100,12.9
101,17.1
102,19.0
103,21.9
104,25.0
105,27.0
106,28.0
107,28.0
108,28.0
109,27.0
110,27.0
111,28.0
112,28.9
113,28.0
114,28.0
115,27.0
116,28.0
117,27.0
118,26.1
119,26.1
120,25.0
121,26.1
122,26.1
123,27.0
124,30.0
125,30.0
126,33.1
127,36.0
128,37.9
129,39.9
130,39.9
131,39.0
132,37.9
133,37.9
134,37.0
135,36.0
136,37.0
137,36.0
138,35.1
139,34.0
140,35.1
141,34.0
142,33.1
143,33.1
144,32.0
145,32.0
146,30.9
147,32.0
148,35.1
149,37.9
150,42.1
151,42.1
152,44.1
153,45.0
154,45.0
155,45.0
156,45.0
157,46.0
158,45.0
159,46.0
160,45.0
161,45.0
162,44.1
163,42.1
164,42.1
165,42.1
166,39.0
167,39.2
168,37.4
169,37.4
170,37.4
171,35.6
172,35.6
173,35.6
174,35.6
175,37.4
176,39.2
177,41.0
178,42.8
179,42.8
180,42.8
181,43.0
182,43.0
183,43.0
184,44.1
185,44.1
186,44.6
187,44.1
188,44.1
189,44.1
190,44.1
