Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,QC
Beijing,PM2.5,2012/1/1 0:00,2012,1,1,0,303,Valid
Beijing,PM2.5,2012/1/1 1:00,2012,1,1,1,215,Valid
Beijing,PM2.5,2012/1/1 2:00,2012,1,1,2,222,Valid
Beijing,PM2.5,2012/1/1 3:00,2012,1,1,3,85,Valid
Beijing,PM2.5,2012/1/1 4:00,2012,1,1,4,38,Valid
Beijing,PM2.5,2012/1/1 5:00,2012,1,1,5,23,Valid
Beijing,PM2.5,2012/1/1 6:00,2012,1,1,6,19,Valid
Beijing,PM2.5,2012/1/1 7:00,2012,1,1,7,14,Valid
Beijing,PM2.5,2012/1/1 8:00,2012,1,1,8,16,Valid
Beijing,PM2.5,2012/1/1 9:00,2012,1,1,9,21,Valid
Beijing,PM2.5,2012/1/1 10:00,2012,1,1,10,22,Valid
Beijing,PM2.5,2012/1/1 11:00,2012,1,1,11,22,Valid
Beijing,PM2.5,2012/1/1 12:00,2012,1,1,12,17,Valid
Beijing,PM2.5,2012/1/1 13:00,2012,1,1,13,22,Valid
Beijing,PM2.5,2012/1/1 14:00,2012,1,1,14,29,Valid
Beijing,PM2.5,2012/1/1 15:00,2012,1,1,15,39,Valid
Beijing,PM2.5,2012/1/1 16:00,2012,1,1,16,42,Valid
Beijing,PM2.5,2012/1/1 17:00,2012,1,1,17,55,Valid
Beijing,PM2.5,2012/1/1 18:00,2012,1,1,18,55,Valid
Beijing,PM2.5,2012/1/1 19:00,2012,1,1,19,72,Valid
Beijing,PM2.5,2012/1/1 20:00,2012,1,1,20,81,Valid
Beijing,PM2.5,2012/1/1 21:00,2012,1,1,21,80,Valid
Beijing,PM2.5,2012/1/1 22:00,2012,1,1,22,128,Valid
Beijing,PM2.5,2012/1/1 23:00,2012,1,1,23,114,Valid
Beijing,PM2.5,2012/1/2 0:00,2012,1,2,0,97,Valid
Beijing,PM2.5,2012/1/2 1:00,2012,1,2,1,79,Valid
Beijing,PM2.5,2012/1/2 2:00,2012,1,2,2,88,Valid
Beijing,PM2.5,2012/1/2 3:00,2012,1,2,3,87,Valid
Beijing,PM2.5,2012/1/2 4:00,2012,1,2,4,98,Valid
Beijing,PM2.5,2012/1/2 5:00,2012,1,2,5,99,Valid
Beijing,PM2.5,2012/1/2 6:00,2012,1,2,6,100,Valid
Beijing,PM2.5,2012/1/2 7:00,2012,1,2,7,104,Valid
Beijing,PM2.5,2012/1/2 8:00,2012,1,2,8,131,Valid
Beijing,PM2.5,2012/1/2 9:00,2012,1,2,9,134,Valid
Beijing,PM2.5,2012/1/2 10:00,2012,1,2,10,169,Valid
