Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,QC 
Shanghai,PM2.5,1/1/2017 0:00,2017,1,1,0,42,Valid
Shanghai,PM2.5,1/1/2017 1:00,2017,1,1,1,46,Valid
Shanghai,PM2.5,1/1/2017 2:00,2017,1,1,2,56,Valid
Shanghai,PM2.5,1/1/2017 3:00,2017,1,1,3,49,Valid
Shanghai,PM2.5,1/1/2017 4:00,2017,1,1,4,51,Valid
Shanghai,PM2.5,1/1/2017 5:00,2017,1,1,5,49,Valid
Shanghai,PM2.5,1/1/2017 6:00,2017,1,1,6,43,Valid
Shanghai,PM2.5,1/1/2017 7:00,2017,1,1,7,47,Valid
Shanghai,PM2.5,1/1/2017 8:00,2017,1,1,8,52,Valid
Shanghai,PM2.5,1/1/2017 9:00,2017,1,1,9,45,Valid
Shanghai,PM2.5,1/1/2017 10:00,2017,1,1,10,44,Valid
Shanghai,PM2.5,1/1/2017 11:00,2017,1,1,11,36,Valid
Shanghai,PM2.5,1/1/2017 12:00,2017,1,1,12,25,Valid
Shanghai,PM2.5,1/1/2017 13:00,2017,1,1,13,38,Valid
Shanghai,PM2.5,1/1/2017 14:00,2017,1,1,14,30,Valid
Shanghai,PM2.5,1/1/2017 15:00,2017,1,1,15,29,Valid
Shanghai,PM2.5,1/1/2017 16:00,2017,1,1,16,30,Valid
Shanghai,PM2.5,1/1/2017 17:00,2017,1,1,17,33,Valid
Shanghai,PM2.5,1/1/2017 18:00,2017,1,1,18,34,Valid
Shanghai,PM2.5,1/1/2017 19:00,2017,1,1,19,38,Valid
Shanghai,PM2.5,1/1/2017 20:00,2017,1,1,20,40,Valid
Shanghai,PM2.5,1/1/2017 21:00,2017,1,1,21,42,Valid
Shanghai,PM2.5,1/1/2017 22:00,2017,1,1,22,36,Valid
Shanghai,PM2.5,1/1/2017 23:00,2017,1,1,23,39,Valid
Shanghai,PM2.5,1/2/2017 0:00,2017,1,2,0,41,Valid
Shanghai,PM2.5,1/2/2017 1:00,2017,1,2,1,49,Valid
Shanghai,PM2.5,1/2/2017 2:00,2017,1,2,2,40,Valid
Shanghai,PM2.5,1/2/2017 3:00,2017,1,2,3,37,Valid
Shanghai,PM2.5,1/2/2017 4:00,2017,1,2,4,41,Valid
Shanghai,PM2.5,1/2/2017 5:00,2017,1,2,5,43,Valid
Shanghai,PM2.5,1/2/2017 6:00,2017,1,2,6,49,Valid
Shanghai,PM2.5,1/2/2017 7:00,2017,1,2,7,47,Valid
Shanghai,PM2.5,1/2/2017 8:00,2017,1,2,8,73,Valid
Shanghai,PM2.5,1/2/2017 9:00,2017,1,2,9,78,Valid
Shanghai,PM2.5,1/2/2017 10:00,2017,1,2,10,88,Valid
Shanghai,PM2.5,1/2/2017 11:00,2017,1,2,11,79,Valid
Shanghai,PM2.5,1/2/2017 12:00,2017,1,2,12,103,Valid
Shanghai,PM2.5,1/2/2017 13:00,2017,1,2,13,121,Valid
Shanghai,PM2.5,1/2/2017 14:00,2017,1,2,14,120,Valid
Shanghai,PM2.5,1/2/2017 15:00,2017,1,2,15,104,Valid
Shanghai,PM2.5,1/2/2017 16:00,2017,1,2,16,105,Valid
Shanghai,PM2.5,1/2/2017 17:00,2017,1,2,17,104,Valid
Shanghai,PM2.5,1/2/2017 18:00,2017,1,2,18,102,Valid
Shanghai,PM2.5,1/2/2017 19:00,2017,1,2,19,70,Valid
Shanghai,PM2.5,1/2/2017 20:00,2017,1,2,20,71,Valid
Shanghai,PM2.5,1/2/2017 21:00,2017,1,2,21,81,Valid
Shanghai,PM2.5,1/2/2017 22:00,2017,1,2,22,74,Valid
Shanghai,PM2.5,1/2/2017 23:00,2017,1,2,23,79,Valid
Shanghai,PM2.5,1/3/2017 0:00,2017,1,3,0,78,Valid
Shanghai,PM2.5,1/3/2017 1:00,2017,1,3,1,79,Valid
Shanghai,PM2.5,1/3/2017 2:00,2017,1,3,2,108,Valid
Shanghai,PM2.5,1/3/2017 3:00,2017,1,3,3,126,Valid
Shanghai,PM2.5,1/3/2017 4:00,2017,1,3,4,145,Valid
Shanghai,PM2.5,1/3/2017 5:00,2017,1,3,5,153,Valid
Shanghai,PM2.5,1/3/2017 6:00,2017,1,3,6,153,Valid
Shanghai,PM2.5,1/3/2017 7:00,2017,1,3,7,152,Valid
Shanghai,PM2.5,1/3/2017 8:00,2017,1,3,8,144,Valid
Shanghai,PM2.5,1/3/2017 9:00,2017,1,3,9,150,Valid
Shanghai,PM2.5,1/3/2017 10:00,2017,1,3,10,162,Valid
Shanghai,PM2.5,1/3/2017 11:00,2017,1,3,11,123,Valid
Shanghai,PM2.5,1/3/2017 12:00,2017,1,3,12,110,Valid
Shanghai,PM2.5,1/3/2017 13:00,2017,1,3,13,100,Valid
Shanghai,PM2.5,1/3/2017 14:00,2017,1,3,14,91,Valid
Shanghai,PM2.5,1/3/2017 15:00,2017,1,3,15,90,Valid
Shanghai,PM2.5,1/3/2017 16:00,2017,1,3,16,82,Valid
Shanghai,PM2.5,1/3/2017 17:00,2017,1,3,17,78,Valid
Shanghai,PM2.5,1/3/2017 18:00,2017,1,3,18,80,Valid
Shanghai,PM2.5,1/3/2017 19:00,2017,1,3,19,75,Valid
Shanghai,PM2.5,1/3/2017 20:00,2017,1,3,20,73,Valid
Shanghai,PM2.5,1/3/2017 21:00,2017,1,3,21,74,Valid
Shanghai,PM2.5,1/3/2017 22:00,2017,1,3,22,74,Valid
Shanghai,PM2.5,1/3/2017 23:00,2017,1,3,23,65,Valid
Shanghai,PM2.5,1/4/2017 0:00,2017,1,4,0,73,Valid
Shanghai,PM2.5,1/4/2017 1:00,2017,1,4,1,63,Valid
Shanghai,PM2.5,1/4/2017 2:00,2017,1,4,2,60,Valid
Shanghai,PM2.5,1/4/2017 3:00,2017,1,4,3,45,Valid
Shanghai,PM2.5,1/4/2017 4:00,2017,1,4,4,47,Valid
Shanghai,PM2.5,1/4/2017 5:00,2017,1,4,5,43,Valid
Shanghai,PM2.5,1/4/2017 6:00,2017,1,4,6,48,Valid
Shanghai,PM2.5,1/4/2017 7:00,2017,1,4,7,53,Valid
Shanghai,PM2.5,1/4/2017 8:00,2017,1,4,8,60,Valid
Shanghai,PM2.5,1/4/2017 9:00,2017,1,4,9,58,Valid
Shanghai,PM2.5,1/4/2017 10:00,2017,1,4,10,59,Valid
Shanghai,PM2.5,1/4/2017 11:00,2017,1,4,11,60,Valid
Shanghai,PM2.5,1/4/2017 12:00,2017,1,4,12,47,Valid
Shanghai,PM2.5,1/4/2017 13:00,2017,1,4,13,43,Valid
Shanghai,PM2.5,1/4/2017 14:00,2017,1,4,14,61,Valid
Shanghai,PM2.5,1/4/2017 15:00,2017,1,4,15,75,Valid
Shanghai,PM2.5,1/4/2017 16:00,2017,1,4,16,73,Valid
Shanghai,PM2.5,1/4/2017 17:00,2017,1,4,17,75,Valid
Shanghai,PM2.5,1/4/2017 18:00,2017,1,4,18,63,Valid
Shanghai,PM2.5,1/4/2017 19:00,2017,1,4,19,62,Valid
Shanghai,PM2.5,1/4/2017 20:00,2017,1,4,20,69,Valid
Shanghai,PM2.5,1/4/2017 21:00,2017,1,4,21,55,Valid
Shanghai,PM2.5,1/4/2017 22:00,2017,1,4,22,65,Valid
Shanghai,PM2.5,1/4/2017 23:00,2017,1,4,23,50,Valid
Shanghai,PM2.5,1/5/2017 0:00,2017,1,5,0,50,Valid
Shanghai,PM2.5,1/5/2017 1:00,2017,1,5,1,42,Valid
Shanghai,PM2.5,1/5/2017 2:00,2017,1,5,2,43,Valid
Shanghai,PM2.5,1/5/2017 3:00,2017,1,5,3,39,Valid
Shanghai,PM2.5,1/5/2017 4:00,2017,1,5,4,30,Valid
Shanghai,PM2.5,1/5/2017 5:00,2017,1,5,5,32,Valid
Shanghai,PM2.5,1/5/2017 6:00,2017,1,5,6,35,Valid
Shanghai,PM2.5,1/5/2017 7:00,2017,1,5,7,30,Valid
Shanghai,PM2.5,1/5/2017 8:00,2017,1,5,8,31,Valid
Shanghai,PM2.5,1/5/2017 9:00,2017,1,5,9,34,Valid
Shanghai,PM2.5,1/5/2017 10:00,2017,1,5,10,26,Valid
Shanghai,PM2.5,1/5/2017 11:00,2017,1,5,11,34,Valid
Shanghai,PM2.5,1/5/2017 12:00,2017,1,5,12,29,Valid
Shanghai,PM2.5,1/5/2017 13:00,2017,1,5,13,35,Valid
Shanghai,PM2.5,1/5/2017 14:00,2017,1,5,14,32,Valid
Shanghai,PM2.5,1/5/2017 15:00,2017,1,5,15,39,Valid
Shanghai,PM2.5,1/5/2017 16:00,2017,1,5,16,43,Valid
Shanghai,PM2.5,1/5/2017 17:00,2017,1,5,17,22,Valid
Shanghai,PM2.5,1/5/2017 18:00,2017,1,5,18,24,Valid
Shanghai,PM2.5,1/5/2017 19:00,2017,1,5,19,25,Valid
Shanghai,PM2.5,1/5/2017 20:00,2017,1,5,20,19,Valid
Shanghai,PM2.5,1/5/2017 21:00,2017,1,5,21,31,Valid
Shanghai,PM2.5,1/5/2017 22:00,2017,1,5,22,26,Valid
Shanghai,PM2.5,1/5/2017 23:00,2017,1,5,23,23,Valid
Shanghai,PM2.5,1/6/2017 0:00,2017,1,6,0,25,Valid
Shanghai,PM2.5,1/6/2017 1:00,2017,1,6,1,32,Valid
Shanghai,PM2.5,1/6/2017 2:00,2017,1,6,2,32,Valid
Shanghai,PM2.5,1/6/2017 3:00,2017,1,6,3,39,Valid
Shanghai,PM2.5,1/6/2017 4:00,2017,1,6,4,36,Valid
Shanghai,PM2.5,1/6/2017 5:00,2017,1,6,5,35,Valid
Shanghai,PM2.5,1/6/2017 6:00,2017,1,6,6,26,Valid
Shanghai,PM2.5,1/6/2017 7:00,2017,1,6,7,25,Valid
Shanghai,PM2.5,1/6/2017 8:00,2017,1,6,8,34,Valid
Shanghai,PM2.5,1/6/2017 9:00,2017,1,6,9,37,Valid
Shanghai,PM2.5,1/6/2017 10:00,2017,1,6,10,37,Valid
Shanghai,PM2.5,1/6/2017 11:00,2017,1,6,11,31,Valid
Shanghai,PM2.5,1/6/2017 12:00,2017,1,6,12,24,Valid
Shanghai,PM2.5,1/6/2017 13:00,2017,1,6,13,21,Valid
Shanghai,PM2.5,1/6/2017 14:00,2017,1,6,14,22,Valid
Shanghai,PM2.5,1/6/2017 15:00,2017,1,6,15,21,Valid
Shanghai,PM2.5,1/6/2017 16:00,2017,1,6,16,24,Valid
Shanghai,PM2.5,1/6/2017 17:00,2017,1,6,17,22,Valid
Shanghai,PM2.5,1/6/2017 18:00,2017,1,6,18,23,Valid
Shanghai,PM2.5,1/6/2017 19:00,2017,1,6,19,16,Valid
Shanghai,PM2.5,1/6/2017 20:00,2017,1,6,20,19,Valid
Shanghai,PM2.5,1/6/2017 21:00,2017,1,6,21,16,Valid
Shanghai,PM2.5,1/6/2017 22:00,2017,1,6,22,16,Valid
Shanghai,PM2.5,1/6/2017 23:00,2017,1,6,23,19,Valid
Shanghai,PM2.5,1/7/2017 0:00,2017,1,7,0,4,Valid
Shanghai,PM2.5,1/7/2017 1:00,2017,1,7,1,13,Valid
Shanghai,PM2.5,1/7/2017 2:00,2017,1,7,2,17,Valid
Shanghai,PM2.5,1/7/2017 3:00,2017,1,7,3,11,Valid
Shanghai,PM2.5,1/7/2017 4:00,2017,1,7,4,10,Valid
Shanghai,PM2.5,1/7/2017 5:00,2017,1,7,5,15,Valid
Shanghai,PM2.5,1/7/2017 6:00,2017,1,7,6,16,Valid
Shanghai,PM2.5,1/7/2017 7:00,2017,1,7,7,21,Valid
Shanghai,PM2.5,1/7/2017 8:00,2017,1,7,8,16,Valid
Shanghai,PM2.5,1/7/2017 9:00,2017,1,7,9,17,Valid
Shanghai,PM2.5,1/7/2017 10:00,2017,1,7,10,13,Valid
Shanghai,PM2.5,1/7/2017 11:00,2017,1,7,11,17,Valid
Shanghai,PM2.5,1/7/2017 12:00,2017,1,7,12,19,Valid
Shanghai,PM2.5,1/7/2017 13:00,2017,1,7,13,12,Valid
Shanghai,PM2.5,1/7/2017 14:00,2017,1,7,14,12,Valid
Shanghai,PM2.5,1/7/2017 15:00,2017,1,7,15,13,Valid
Shanghai,PM2.5,1/7/2017 16:00,2017,1,7,16,24,Valid
Shanghai,PM2.5,1/7/2017 17:00,2017,1,7,17,29,Valid
Shanghai,PM2.5,1/7/2017 18:00,2017,1,7,18,32,Valid
Shanghai,PM2.5,1/7/2017 19:00,2017,1,7,19,36,Valid
Shanghai,PM2.5,1/7/2017 20:00,2017,1,7,20,40,Valid
Shanghai,PM2.5,1/7/2017 21:00,2017,1,7,21,35,Valid
Shanghai,PM2.5,1/7/2017 22:00,2017,1,7,22,48,Valid
Shanghai,PM2.5,1/7/2017 23:00,2017,1,7,23,51,Valid
Shanghai,PM2.5,1/8/2017 0:00,2017,1,8,0,48,Valid
Shanghai,PM2.5,1/8/2017 1:00,2017,1,8,1,57,Valid
Shanghai,PM2.5,1/8/2017 2:00,2017,1,8,2,62,Valid
Shanghai,PM2.5,1/8/2017 3:00,2017,1,8,3,75,Valid
Shanghai,PM2.5,1/8/2017 4:00,2017,1,8,4,76,Valid
Shanghai,PM2.5,1/8/2017 5:00,2017,1,8,5,95,Valid
Shanghai,PM2.5,1/8/2017 6:00,2017,1,8,6,94,Valid
Shanghai,PM2.5,1/8/2017 7:00,2017,1,8,7,106,Valid
Shanghai,PM2.5,1/8/2017 8:00,2017,1,8,8,115,Valid
Shanghai,PM2.5,1/8/2017 9:00,2017,1,8,9,124,Valid
Shanghai,PM2.5,1/8/2017 10:00,2017,1,8,10,124,Valid
Shanghai,PM2.5,1/8/2017 11:00,2017,1,8,11,126,Valid
Shanghai,PM2.5,1/8/2017 12:00,2017,1,8,12,118,Valid
Shanghai,PM2.5,1/8/2017 13:00,2017,1,8,13,137,Valid
Shanghai,PM2.5,1/8/2017 14:00,2017,1,8,14,126,Valid
Shanghai,PM2.5,1/8/2017 15:00,2017,1,8,15,129,Valid
Shanghai,PM2.5,1/8/2017 16:00,2017,1,8,16,100,Valid
Shanghai,PM2.5,1/8/2017 17:00,2017,1,8,17,89,Valid
Shanghai,PM2.5,1/8/2017 18:00,2017,1,8,18,65,Valid
Shanghai,PM2.5,1/8/2017 19:00,2017,1,8,19,51,Valid
Shanghai,PM2.5,1/8/2017 20:00,2017,1,8,20,45,Valid
Shanghai,PM2.5,1/8/2017 21:00,2017,1,8,21,45,Valid
Shanghai,PM2.5,1/8/2017 22:00,2017,1,8,22,35,Valid
Shanghai,PM2.5,1/8/2017 23:00,2017,1,8,23,37,Valid
Shanghai,PM2.5,1/9/2017 0:00,2017,1,9,0,52,Valid
Shanghai,PM2.5,1/9/2017 1:00,2017,1,9,1,68,Valid
Shanghai,PM2.5,1/9/2017 2:00,2017,1,9,2,64,Valid
Shanghai,PM2.5,1/9/2017 3:00,2017,1,9,3,57,Valid
Shanghai,PM2.5,1/9/2017 4:00,2017,1,9,4,68,Valid
Shanghai,PM2.5,1/9/2017 5:00,2017,1,9,5,76,Valid
Shanghai,PM2.5,1/9/2017 6:00,2017,1,9,6,76,Valid
Shanghai,PM2.5,1/9/2017 7:00,2017,1,9,7,80,Valid
Shanghai,PM2.5,1/9/2017 8:00,2017,1,9,8,79,Valid
Shanghai,PM2.5,1/9/2017 9:00,2017,1,9,9,69,Valid
Shanghai,PM2.5,1/9/2017 10:00,2017,1,9,10,79,Valid
Shanghai,PM2.5,1/9/2017 11:00,2017,1,9,11,69,Valid
Shanghai,PM2.5,1/9/2017 12:00,2017,1,9,12,71,Valid
Shanghai,PM2.5,1/9/2017 13:00,2017,1,9,13,76,Valid
Shanghai,PM2.5,1/9/2017 14:00,2017,1,9,14,85,Valid
Shanghai,PM2.5,1/9/2017 15:00,2017,1,9,15,84,Valid
Shanghai,PM2.5,1/9/2017 16:00,2017,1,9,16,89,Valid
